id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,tick,game_phase,x,y,vy,raw,normalized,smoothed,result,collision_object,reason,grip_sample_id,scheduled_lateness_s
546,task,9.878233800060116,7,1,iti,532,4,"{""trial"": 7, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 36, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 545, ""scheduled_lateness_s"": 0.009147800039499998}",36,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,545,0.009147800039499998
563,task,9.994503100053407,8,1,prepare,549,6,"{""trial"": 8, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 37, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 562, ""scheduled_lateness_s"": 0.000417300034314394}",37,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,562,0.000417300034314394
579,task,10.128706200048327,8,1,feedback,565,2,"{""trial"": 8, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 38, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 578, ""scheduled_lateness_s"": 0.009598699980415404}",38,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,578,0.009598699980415404
594,task,10.24577020003926,8,1,feedback,582,3,"{""trial"": 8, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 39, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 593, ""scheduled_lateness_s"": 0.0016570000443607569}",39,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,593,0.0016570000443607569
608,task,10.376985999988392,8,1,result,582,3,"{""trial"": 8, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 40, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 607, ""scheduled_lateness_s"": 0.00788489996921271}",40,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,607,0.00788489996921271
625,task,10.510621799970977,8,1,iti,610,4,"{""trial"": 8, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 41, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 624, ""scheduled_lateness_s"": 0.01653320004697889}",41,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,624,0.01653320004697889
641,task,10.627914300072007,9,1,prepare,627,6,"{""trial"": 9, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 42, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 640, ""scheduled_lateness_s"": 0.008797000045888126}",42,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,640,0.008797000045888126
658,task,10.760669199982658,9,1,feedback,644,2,"{""trial"": 9, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 43, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 657, ""scheduled_lateness_s"": 0.016576700028963387}",43,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,657,0.016576700028963387
673,task,10.878447200055234,9,1,feedback,660,3,"{""trial"": 9, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 44, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 672, ""scheduled_lateness_s"": 0.00934450002387166}",44,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,672,0.00934450002387166
686,task,11.010608399985358,9,1,result,660,3,"{""trial"": 9, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 45, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 685, ""scheduled_lateness_s"": 0.01650500006508082}",45,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,685,0.01650500006508082
